Address	Count
30 THIRD AVENUE SINGAPORE 266600	3
279 BALESTIER ROAD #02-14 BLEASTIER POINT SINGAPORE 329727	3
18A FORT ROAD SINGAPORE 439083	3
151 THOMSON RIDGE THOMSON RIDGE ESTATE SINGAPORE 574731	3
15 YISHUN AVENUE 4  NORTHLAND PRIMARY SCHOOL SINGAPORE 769026	3
121/123 EMERALD HILL ROAD SINGAPORE 229404	3
12 ASTRID HILL SINGAPORE 269936	3
100H PASIR PANJANG ROAD SINGAPORE 118524	3
"TS30-00399M PT, TS 30-00401P PT AT SHENTON WAY / MARINA VIEW / MAXWELL ROAD"	4
"TS18-99368K, TS18-99364V AT 23/24A/25A RACE COURSE LANE"	4
"PASIR PANJANG TERMINAL, PHASES 3 & 4, (CONTRACT NO. 30/06.C08), SINGAPORE 110000"	4
"MK31-01068V, MK31-01069P, MK31-02769V, MK31-02770M AT 34 & 36 TOH CRESCENT, SINGAPORE 507923 & 507945"	4
"MK25-02786P, MK25-06871V AT DUNMAN ROAD"	4
MK18-15463M ANG MO KIO AVE 1	4
"MK17-09346A LOT: 08636VPT, 09567P PT, 08686T PT, 08684V PT, 08690A PT, 08692N PT,08694L PT, 08680L PT,  08711V PT, 00932A PT, 08639A PT  FOR KALLANG WHAMPOA C28B AT JALAN TENTERAM-CONTRACT NO: D/070/13"	4
MK03-01644P AT JALAN MAT JAMBOL /PASIR PANJANG ROAD	4
LOT: 3365C MK: 19 WAK HASSAN PLACE	4
LOT: 10335T MK: 17 AT UPPER SERANGOON ROAD/PHENG GECK AVENUE	4
LOT: 06030P MK: 13 AT THE JUNCTION OF WOODLANDS AVE 6 / WOODLANDS DRIVE 16	4
"LOT: 00192C, 00264C, 00295C, 00229L, 00263L, 00265M, 00275N, 00268P, 00266W, 00267V & 00270V MK: TS30 DOWNTOWN MARINA BAY MC01(CONTRACT NO. URA/T/09/043)"	4
"LOT: 0 MK: 22 LOTS 01651W, 01652V,  09153V,  09154P, 167 TO 199B JALAN PELIKAT  SINGAPORE 537635"	4
